                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.4207,                0.60871,                0.95172,                0.99566,                0.99978,                  0.995,                0.94355,                0.32356,                0.54197,                0.83033,               0.000467,               0.000467,               0.000467
                     70,                0.45943,                0.66274,                0.98426,                0.99666,                      1,                  0.995,                0.94476,                0.32589,                0.53351,                0.82732,             0.00045285,             0.00045285,             0.00045285
                     71,                0.41808,                0.60288,                0.95595,                0.99718,                      1,                  0.995,                0.93818,                0.32854,                0.53229,                0.82656,              0.0004387,              0.0004387,              0.0004387
                     72,                0.43568,                0.59701,                0.96843,                0.98906,                0.99954,                0.99485,                0.94284,                 0.3201,                0.52367,                0.82244,             0.00042456,             0.00042456,             0.00042456
                     73,                0.42462,                0.56169,                0.94692,                0.99697,                      1,                  0.995,                0.94147,                0.31402,                0.51399,                0.81762,             0.00041041,             0.00041041,             0.00041041
                     74,                0.43076,                0.57035,                0.94733,                0.99713,                      1,                  0.995,                0.94181,                 0.3214,                0.52079,                0.81696,             0.00039626,             0.00039626,             0.00039626
                     75,                0.41417,                0.55167,                0.95935,                0.99719,                      1,                  0.995,                0.94206,                 0.3168,                0.52491,                0.81245,             0.00038211,             0.00038211,             0.00038211
                     76,                0.42081,                0.53466,                0.94734,                0.99758,                      1,                  0.995,                0.95061,                0.29553,                0.52462,                0.80574,             0.00036797,             0.00036797,             0.00036797
                     77,                0.45039,                0.58344,                0.96386,                0.99748,                      1,                  0.995,                 0.9524,                0.28629,                0.52436,                0.80236,             0.00035382,             0.00035382,             0.00035382
                     78,                0.36955,                0.49972,                0.92469,                0.99676,                      1,                  0.995,                0.95105,                 0.2825,                0.52382,                0.80133,             0.00033967,             0.00033967,             0.00033967
                     79,                0.43461,                0.55385,                0.96085,                0.98949,                      1,                  0.995,                0.95263,                0.28625,                 0.5246,                 0.8027,             0.00032553,             0.00032553,             0.00032553
                     80,                0.45861,                0.57802,                0.97872,                0.98733,                0.99875,                  0.995,                0.95354,                0.29086,                0.52783,                0.80549,             0.00031138,             0.00031138,             0.00031138
                     81,                0.40342,                0.56981,                0.93144,                 0.9909,                0.99327,                  0.995,                0.95191,                0.29925,                0.53486,                 0.8089,             0.00029723,             0.00029723,             0.00029723
                     82,                 0.4219,                0.55459,                0.96371,                0.99342,                      1,                  0.995,                0.95258,                0.30155,                0.52618,                0.80954,             0.00028308,             0.00028308,             0.00028308
